,Mean Aligned,Mean,Median,Standard Deviation,Min,Max,25%,50%,75%
h36m_sub11_Directions_cam55011271,69.65029907226562,93.47467041015625,80.50361633300781,60.524295806884766,6.6122355461120605,376.264404296875,47.009666442871094,80.50361633300781,123.15552520751953
h36m_sub11_Discussion 1_cam55011271,72.56550598144531,102.5228042602539,82.90193939208984,72.90586853027344,3.3431057929992676,448.1551818847656,45.88132095336914,82.90193939208984,144.68992614746094
h36m_sub11_Directions 1_cam55011271,73.06012725830078,99.816162109375,82.12193298339844,74.7988052368164,7.947652339935303,833.378662109375,46.47123718261719,82.12193298339844,137.7862091064453
h36m_sub11_Discussion 2_cam55011271,76.45954895019531,111.73297119140625,90.46475219726562,82.36524200439453,7.0273027420043945,664.3319091796875,52.00343322753906,90.46475219726562,145.34909057617188
h36m_sub11_Discussion 2_cam54138969,79.40809631347656,137.81114196777344,95.46955871582031,137.80279541015625,2.6484110355377197,1113.2158203125,54.631263732910156,95.46955871582031,169.6024169921875
h36m_sub11_Discussion 1_cam54138969,79.86874389648438,134.35450744628906,92.10325622558594,152.73777770996094,2.6306278705596924,1168.3026123046875,48.85036087036133,92.10325622558594,158.68524169921875
h36m_sub11_Posing 1_cam55011271,80.38794708251953,116.20433044433594,93.64410400390625,82.36811828613281,9.750741958618164,507.03240966796875,53.55741500854492,93.64410400390625,161.44686889648438
h36m_sub11_Posing_cam55011271,81.97364044189453,118.88101196289062,96.27482604980469,86.82191467285156,11.558996200561523,705.1873779296875,57.66463088989258,96.27482604980469,159.99635314941406
h36m_sub11_Discussion 2_cam60457274,82.4676513671875,112.37754821777344,90.98505401611328,82.6727294921875,7.867067337036133,866.6311645507812,54.21438980102539,90.98505401611328,146.35696411132812
h36m_sub11_Posing 1_cam58860488,83.75590515136719,108.65229797363281,90.70303344726562,71.23225402832031,4.686638832092285,476.78271484375,57.696590423583984,90.70303344726562,136.68447875976562
h36m_sub11_Waiting_cam55011271,84.26947784423828,118.21150970458984,95.03323364257812,87.1323013305664,3.2076258659362793,794.258544921875,52.406707763671875,95.03323364257812,160.0484619140625
h36m_sub11_Posing_cam54138969,84.42411041259766,184.11553955078125,117.46466064453125,185.0211181640625,4.639253616333008,1020.9659423828125,64.25861358642578,117.46466064453125,239.3377227783203
h36m_sub11_Discussion 1_cam58860488,84.90072631835938,105.47709655761719,81.03887939453125,86.74422454833984,3.650254011154175,1048.445068359375,51.517608642578125,81.03887939453125,126.97991943359375
h36m_sub11_Waiting 1_cam55011271,85.22323608398438,121.7283935546875,100.61994934082031,86.69712829589844,7.336668491363525,652.6924438476562,51.47186279296875,100.61994934082031,176.34820556640625
mpii_ts1,85.26004028320312,137.0475311279297,127.54621887207031,84.4028549194336,5.597762584686279,1034.200439453125,80.32136535644531,127.54621887207031,182.97628784179688
h36m_sub11_Posing_cam58860488,85.40185546875,114.01648712158203,91.2996826171875,84.0589599609375,11.947737693786621,596.5018310546875,57.45490264892578,91.2996826171875,140.88311767578125
h36m_sub11_Posing_cam60457274,86.1416244506836,118.65353393554688,90.31928253173828,95.84519958496094,8.732044219970703,696.3101196289062,51.77183532714844,90.31928253173828,151.47421264648438
h36m_sub11_Discussion 1_cam60457274,86.80330657958984,114.33013153076172,93.4758529663086,81.96340942382812,12.436606407165527,621.3381958007812,53.9883918762207,93.4758529663086,151.31004333496094
h36m_sub11_Directions_cam54138969,87.45594024658203,174.57177734375,115.76667785644531,182.25381469726562,5.238893508911133,1157.6717529296875,64.2721939086914,115.76667785644531,214.17343139648438
h36m_sub11_Phoning 3_cam55011271,87.99977111816406,158.94410705566406,112.47383880615234,139.73292541503906,6.538355827331543,1075.8826904296875,63.3304443359375,112.47383880615234,213.75404357910156
h36m_sub11_Waiting 1_cam60457274,88.57032775878906,128.54977416992188,104.7325668334961,91.82048797607422,6.06251859664917,642.119140625,58.99980163574219,104.7325668334961,182.8271942138672
h36m_sub11_Phoning 2_cam55011271,88.74455261230469,166.1371307373047,120.3656005859375,144.6832733154297,2.314903497695923,1060.800537109375,68.54048919677734,120.3656005859375,223.32864379882812
h36m_sub11_Waiting_cam60457274,88.99736022949219,125.00009155273438,100.66962432861328,93.2508316040039,5.421087741851807,716.00732421875,59.337493896484375,100.66962432861328,156.79873657226562
h36m_sub11_WalkTogether_cam60457274,89.10189819335938,131.86697387695312,101.3509521484375,96.26181030273438,7.491422653198242,779.9651489257812,64.505126953125,101.3509521484375,173.37742614746094
h36m_sub11_Posing 1_cam60457274,89.29141998291016,133.534423828125,103.87728881835938,101.51239776611328,5.599451541900635,667.6708984375,63.88087844848633,103.87728881835938,166.7431640625
h36m_sub11_Purchases 1_cam55011271,89.52747344970703,145.91883850097656,133.6019287109375,96.14611053466797,7.088812828063965,546.5902709960938,66.64852905273438,133.6019287109375,206.3763885498047
h36m_sub11_Phoning 2_cam54138969,89.80064392089844,141.03257751464844,109.24851989746094,116.8089828491211,4.170131206512451,1136.5574951171875,59.927528381347656,109.24851989746094,185.3372802734375
h36m_sub11_Waiting 1_cam54138969,89.80541229248047,155.86492919921875,116.71327209472656,147.6896209716797,3.830007553100586,1084.9749755859375,59.63460159301758,116.71327209472656,204.73434448242188
h36m_sub11_Purchases 1_cam54138969,89.93134307861328,144.94007873535156,112.67359924316406,135.33457946777344,3.315303325653076,1090.1041259765625,57.671905517578125,112.67359924316406,200.54603576660156
h36m_sub11_Eating_cam60457274,90.00437927246094,136.31065368652344,108.72695922851562,95.35813903808594,4.5218706130981445,786.259033203125,66.53555297851562,108.72695922851562,185.39125061035156
h36m_sub11_Walking_cam58860488,90.01043701171875,148.6257781982422,106.898193359375,123.70637512207031,8.566850662231445,864.8776245117188,63.38208770751953,106.898193359375,196.4733123779297
h36m_sub11_Waiting_cam54138969,90.31568145751953,182.1790008544922,127.97789764404297,177.59359741210938,4.888208866119385,1186.8681640625,64.81485748291016,127.97789764404297,239.43807983398438
h36m_sub11_Purchases_cam55011271,91.72734069824219,147.83645629882812,132.38265991210938,96.4437026977539,5.933115482330322,452.6330871582031,74.0386962890625,132.38265991210938,203.69032287597656
h36m_sub11_Directions 1_cam54138969,91.90876770019531,199.57362365722656,123.40652465820312,203.6672821044922,6.102838516235352,1095.528564453125,76.07388305664062,123.40652465820312,245.0430908203125
h36m_sub11_Phoning 3_cam54138969,92.56730651855469,141.54351806640625,110.43540954589844,112.96534729003906,4.857828617095947,1065.4613037109375,61.57463073730469,110.43540954589844,189.89578247070312
h36m_sub9_Posing_cam55011271,92.69728088378906,164.07171630859375,120.46097564697266,136.48524475097656,5.315247535705566,743.3903198242188,66.69328308105469,120.46097564697266,218.15460205078125
h36m_sub11_Walking 1_cam58860488,92.90401458740234,151.75254821777344,110.16403198242188,127.21810150146484,6.23534631729126,850.552001953125,63.90924835205078,110.16403198242188,200.03912353515625
h36m_sub11_Phoning 3_cam58860488,93.0088882446289,154.42715454101562,112.81951904296875,131.71347045898438,7.512461185455322,1256.5546875,67.73149108886719,112.81951904296875,202.0478973388672
h36m_sub11_WalkTogether 1_cam60457274,93.13676452636719,137.7550811767578,103.9305419921875,110.03865814208984,5.863670825958252,1063.91552734375,63.99354934692383,103.9305419921875,175.18795776367188
h36m_sub11_Phoning 2_cam58860488,93.54431915283203,150.72763061523438,110.26353454589844,130.197998046875,3.7111880779266357,1183.0029296875,67.34027862548828,110.26353454589844,194.674072265625
h36m_sub11_Eating_cam55011271,93.65013885498047,173.4324188232422,127.84895324707031,142.9113311767578,2.12874698638916,789.972900390625,68.90503692626953,127.84895324707031,250.71693420410156
h36m_sub11_WalkTogether 1_cam58860488,93.80686950683594,159.8406219482422,118.74775695800781,140.71331787109375,12.182953834533691,1102.3487548828125,73.26054382324219,118.74775695800781,200.5427703857422
h36m_sub11_Phoning 3_cam60457274,93.88817596435547,151.07200622558594,116.86492156982422,121.28433227539062,7.553494453430176,1126.6710205078125,69.45214080810547,116.86492156982422,193.39173889160156
h36m_sub9_Posing 1_cam55011271,94.16046905517578,152.99185180664062,120.59989929199219,122.01307678222656,3.7809391021728516,785.1293334960938,65.21345520019531,120.59989929199219,200.35687255859375
